ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
Erzya-1_tendon-1,,Erzya,1_tendon,коське сан,коське сан,,,Dellert2017,,
Erzya-2_bend-1,,Erzya,2_bend,мендемс,мендемс,,,Dellert2017,,
Erzya-3_try-1,,Erzya,3_try,варштамс,варштамс,,,Dellert2017,,
Erzya-4_iron-1,,Erzya,4_iron,кшни,кшни,,,Dellert2017,,
NorthernSami-1_tendon-1,,NorthernSami,1_tendon,suotna,suotna,,,Dellert2017,,
NorthernSami-2_bend-1,,NorthernSami,2_bend,sojahit,sojahit,,,Dellert2017,,
NorthernSami-3_try-1,,NorthernSami,3_try,geahččalit,geahččalit,,,Dellert2017,,
NorthernSami-4_iron-1,,NorthernSami,4_iron,ruovdi,ruovdi,,,Dellert2017,,
Bengali-1_tendon-1,,Bengali,1_tendon,কণ্ডরা,কণ্ডরা,,,Dellert2017,,
Bengali-2_bend-1,,Bengali,2_bend,নোয়া,নোয়া,,,Dellert2017,,
Bengali-3_try-1,,Bengali,3_try,পরখ করা,পরখ করা,,,Dellert2017,,
Bengali-4_iron-1,,Bengali,4_iron,লোহা,লোহা,,,Dellert2017,,
Latvian-1_tendon-1,,Latvian,1_tendon,dzīsla,dzīsla,,,Dellert2017,,
Latvian-2_bend-1,,Latvian,2_bend,liekt,liekt,,,Dellert2017,,
Latvian-3_try-1,,Latvian,3_try,mēģināt,mēģināt,,,Dellert2017,,
Latvian-4_iron-1,,Latvian,4_iron,dzelzs,dzelzs,,,Dellert2017,,
